번호,업체명,인스타그램_아이디,인스타그램_URL,유형
1,로즈로사 (본사),@roserosa.wedding,https://www.instagram.com/roserosa.wedding/,브랜드공식
2,로즈로사 (대구),@roserosa_wedding_,https://www.instagram.com/roserosa_wedding_/,지점
3,클라라웨딩 (서울본사),@clarawedding_official,https://www.instagram.com/clarawedding_official/,브랜드공식
4,제시카로렌,@jessicalauren_bride,https://www.instagram.com/jessicalauren_bride/,브랜드공식
5,모니카블랑쉬,@monicablanche_official,https://www.instagram.com/monicablanche_official/,브랜드공식
6,르블랑웨딩 (공식),@le_blanc_wedding_official,https://www.instagram.com/le_blanc_wedding_official/,브랜드공식
7,르블랑웨딩 (신부후기),@leblancwedding_dress,https://www.instagram.com/leblancwedding_dress/,후기계정
8,마리레나 바이 블랑,@marilenabyblanc_official,https://www.instagram.com/marilenabyblanc_official/,브랜드공식
9,시작바이이명순 (본사),@czacc_official,https://www.instagram.com/czacc_official/,브랜드공식
10,시작바이이명순 (대구),@czacc_daegu,https://www.instagram.com/czacc_daegu/,지점
11,더화이트엘리자베스,@thewhite.elisabeth,https://www.instagram.com/thewhite.elisabeth/,브랜드공식
12,리디아브라이드,@lydiabride_official,https://www.instagram.com/lydiabride_official/,브랜드공식
13,위드브라이드,@with_bride,https://www.instagram.com/with_bride/,브랜드공식
14,숲속드레스,@supsok_wedding,https://www.instagram.com/supsok_wedding/,브랜드공식
15,설영웨딩,@seolyoung_wed,https://www.instagram.com/seolyoung_wed/,브랜드공식
16,안나앤로즈,@annanrose_official,https://www.instagram.com/annanrose_official/,브랜드공식
17,엘로즈드레스,@elrosedress,https://www.instagram.com/elrosedress/,브랜드공식
18,라라힐드레스,@lalahilldress,https://www.instagram.com/lalahilldress/,브랜드공식
19,베일즈,@veils_official,https://www.instagram.com/veils_official/,브랜드공식
20,루나스드레스하우스,@lunasdresshouse,https://www.instagram.com/lunasdresshouse/,브랜드공식
21,메리슈가,@marrysugar_official,https://www.instagram.com/marrysugar_official/,브랜드공식
22,로엘드레스,@roeldress_official,https://www.instagram.com/roeldress_official/,브랜드공식
23,메이부띠끄,@may_boutique_wedding,https://www.instagram.com/may_boutique_wedding/,브랜드공식
24,엔젤드레스,@angeldress_official,https://www.instagram.com/angeldress_official/,브랜드공식
25,브라이덜휘,@bridalhui_official,https://www.instagram.com/bridalhui_official/,브랜드공식
26,여운 필름웨딩,@w.yeowoon,https://www.instagram.com/w.yeowoon/,스냅/드레스
27,스튜디오아이브,@studio__ive,https://www.instagram.com/studio__ive/,스냅/드레스
28,소니아브라이달,@sonia_bridal_official,https://www.instagram.com/sonia_bridal_official/,브랜드공식
29,벨에포크,@belleepoque_dress,https://www.instagram.com/belleepoque_dress/,브랜드공식
30,빅토리아스포사,@victoriasposa_official,https://www.instagram.com/victoriasposa_official/,브랜드공식
31,에스띠아,@estia_bridal,https://www.instagram.com/estia_bridal/,브랜드공식
32,세라피나,@serafina_bridal,https://www.instagram.com/serafina_bridal/,브랜드공식
33,라포엠,@lapoem_dress,https://www.instagram.com/lapoem_dress/,브랜드공식
34,켈리오마,@kellyohma_official,https://www.instagram.com/kellyohma_official/,브랜드공식
35,안나까렌,@annakaren_bridal,https://www.instagram.com/annakaren_bridal/,브랜드공식
36,루이엘,@louielle_dress,https://www.instagram.com/louielle_dress/,브랜드공식
37,벨라노비아,@bellanova_bridal,https://www.instagram.com/bellanova_bridal/,브랜드공식
38,라루체,@laluche_dress,https://www.instagram.com/laluche_dress/,브랜드공식
39,제니하우스드레스,@jennyhouse_dress,https://www.instagram.com/jennyhouse_dress/,브랜드공식
40,헤리티지바이오,@heritage_bio_dress,https://www.instagram.com/heritage_bio_dress/,브랜드공식
41,이엘르웨딩,@elle_wedding_dress,https://www.instagram.com/elle_wedding_dress/,브랜드공식
42,비엔나브라이드,@vienna_bride_official,https://www.instagram.com/vienna_bride_official/,브랜드공식
43,드레스가든,@dressgarden_official,https://www.instagram.com/dressgarden_official/,브랜드공식
44,화이트노바,@whitenova_dress,https://www.instagram.com/whitenova_dress/,브랜드공식
45,프렌치스타일,@french_style_bridal,https://www.instagram.com/french_style_bridal/,브랜드공식
46,아이웨딩드레스,@iwedding_dress,https://www.instagram.com/iwedding_dress/,플랫폼
47,웨딩북드레스,@weddingbook_dress,https://www.instagram.com/weddingbook_dress/,플랫폼
48,더웨드웨딩,@thewed_wedding,https://www.instagram.com/thewed_wedding/,플랫폼
49,엘리사브 브라이덜,@eliesaabbridal,https://www.instagram.com/eliesaabbridal/,해외브랜드
50,브라이드KC,@bride.kc,https://www.instagram.com/bride.kc/,브랜드공식
