번호,업체명,인스타그램_아이디,인스타그램_URL,유형
1,소그노,@sognojewelry_official,https://www.instagram.com/sognojewelry_official/,디자이너브랜드
2,누니주얼리,@nooneejewelry,https://www.instagram.com/nooneejewelry/,디자이너브랜드
3,메드스튜디오 MAAD,@maadstudio,https://www.instagram.com/maadstudio/,디자이너브랜드
4,민준주얼리,@minjunjewelry_official,https://www.instagram.com/minjunjewelry_official/,디자이너브랜드
5,바이가미 BYGAMI,@bygami_official,https://www.instagram.com/bygami_official/,디자이너브랜드
6,디유953,@du953,https://www.instagram.com/du953/,디자이너브랜드
7,레브가 REVGA,@rev_ga,https://www.instagram.com/rev_ga/,디자이너브랜드
8,레브가 REVGA (공식),@revga_official,https://www.instagram.com/revga_official/,디자이너브랜드
9,반조애,@vanzoe_official,https://www.instagram.com/vanzoe_official/,디자이너브랜드
10,D102,@d102_wedding,https://www.instagram.com/d102_wedding/,디자이너브랜드
11,푸케 금빛제작소,@fouquet_goldenmill,https://www.instagram.com/fouquet_goldenmill/,디자이너브랜드
12,오르시아,@orsia_jewelry,https://www.instagram.com/orsia_jewelry/,디자이너브랜드
13,골든듀,@goldendew_official,https://www.instagram.com/goldendew_official/,국내브랜드
14,제이에스티나,@j.estina_official,https://www.instagram.com/j.estina_official/,국내브랜드
15,스톤헨지,@stonehenge_official,https://www.instagram.com/stonehenge_official/,국내브랜드
16,로이드,@lloyd_thegift,https://www.instagram.com/lloyd_thegift/,국내브랜드
17,슈트패브릭 주얼리,@suitfabric_jewelry,https://www.instagram.com/suitfabric_jewelry/,디자이너브랜드
18,디티피아,@dtpia.co.kr,https://www.instagram.com/dtpia.co.kr/,디자이너브랜드
19,티파니앤코,@tiffanyandco,https://www.instagram.com/tiffanyandco/,해외명품
20,까르띠에,@cartier,https://www.instagram.com/cartier/,해외명품
21,쇼메,@chaumet,https://www.instagram.com/chaumet/,해외명품
22,부쉐론,@boucheron,https://www.instagram.com/boucheron/,해외명품
23,피아제,@piaget,https://www.instagram.com/piaget/,해외명품
24,불가리,@bulgariofficial,https://www.instagram.com/bulgariofficial/,해외명품
25,샤넬 파인주얼리,@chanelofficial,https://www.instagram.com/chanelofficial/,해외명품
26,반클리프아펠,@vancleefarpels,https://www.instagram.com/vancleefarpels/,해외명품
27,해리윈스턴,@harrywinston,https://www.instagram.com/harrywinston/,해외명품
28,그라프,@graff,https://www.instagram.com/graff/,해외명품
29,마르쉐주얼리,@marche_jewelry,https://www.instagram.com/marche_jewelry/,디자이너브랜드
30,루아드,@luad_official,https://www.instagram.com/luad_official/,디자이너브랜드
31,비앙비주,@biensbijoux_official,https://www.instagram.com/biensbijoux_official/,디자이너브랜드
32,아도르골드,@adoregold_official,https://www.instagram.com/adoregold_official/,디자이너브랜드
33,모메주얼리,@mome_jewelry,https://www.instagram.com/mome_jewelry/,디자이너브랜드
34,테일러앤코,@taylorandco_jewelry,https://www.instagram.com/taylorandco_jewelry/,디자이너브랜드
35,아이디얼다이아,@ideal_diamond,https://www.instagram.com/ideal_diamond/,국내브랜드
36,이다다이아몬드,@ida_diamond,https://www.instagram.com/ida_diamond/,국내브랜드
37,루이비쥬,@louisbijou_official,https://www.instagram.com/louisbijou_official/,디자이너브랜드
38,디즈모,@dessmo_official,https://www.instagram.com/dessmo_official/,디자이너브랜드
39,폴리에르,@polieres_jewelry,https://www.instagram.com/polieres_jewelry/,디자이너브랜드
40,루시에,@lucie_bridal,https://www.instagram.com/lucie_bridal/,디자이너브랜드
41,아드모르,@admor_jewelry,https://www.instagram.com/admor_jewelry/,디자이너브랜드
42,제이에프주얼리,@jf_jewelry_official,https://www.instagram.com/jf_jewelry_official/,디자이너브랜드
43,빌리진주얼리,@billiejean_jewelry,https://www.instagram.com/billiejean_jewelry/,디자이너브랜드
44,클라렌스,@clarence_jewelry,https://www.instagram.com/clarence_jewelry/,디자이너브랜드
45,라빠주얼리,@lappa_jewelry,https://www.instagram.com/lappa_jewelry/,디자이너브랜드
46,루브아,@luvoir_jewelry,https://www.instagram.com/luvoir_jewelry/,디자이너브랜드
47,아뜰리에수,@atelier_soo_jewelry,https://www.instagram.com/atelier_soo_jewelry/,디자이너브랜드
48,에일린주얼리,@eileen_jewelry_kr,https://www.instagram.com/eileen_jewelry_kr/,디자이너브랜드
49,르몽드주얼리,@lemonde_jewelry,https://www.instagram.com/lemonde_jewelry/,디자이너브랜드
50,블리스주얼리,@bliss_jewelry_kr,https://www.instagram.com/bliss_jewelry_kr/,디자이너브랜드
