번호,업체명,인스타그램_아이디,인스타그램_URL,유형
1,스플렌디노,@splendino_official,https://www.instagram.com/splendino_official/,브랜드공식
2,해리슨테일러,@harrisontailor,https://www.instagram.com/harrisontailor/,브랜드공식
3,테일러룸스,@tailorrooms__atelier,https://www.instagram.com/tailorrooms__atelier/,브랜드공식
4,포튼가먼트 (합정),@fotton_hp,https://www.instagram.com/fotton_hp/,지점
5,아르스노바 (본점),@arsnova_owner,https://www.instagram.com/arsnova_owner/,브랜드공식
6,아르스노바 (수원),@arsnova_suwon,https://www.instagram.com/arsnova_suwon/,지점
7,아르코발레노,@arcovaleno_official,https://www.instagram.com/arcovaleno_official/,브랜드공식
8,리마조테일러,@remajotailor,https://www.instagram.com/remajotailor/,브랜드공식
9,더벨로테일러,@_thebello_,https://www.instagram.com/_thebello_/,브랜드공식
10,브릭테일러,@brictailor_official,https://www.instagram.com/brictailor_official/,브랜드공식
11,슈트패브릭,@suitfabric_official,https://www.instagram.com/suitfabric_official/,브랜드공식
12,테일러블,@tailorable,https://www.instagram.com/tailorable/,브랜드공식
13,아르마리오,@armario.seoul,https://www.instagram.com/armario.seoul/,브랜드공식
14,제이진슈트,@jjinsuit_official,https://www.instagram.com/jjinsuit_official/,브랜드공식
15,로이스테일러,@roistailor_official,https://www.instagram.com/roistailor_official/,브랜드공식
16,엘레바또,@elevato_official,https://www.instagram.com/elevato_official/,브랜드공식
17,젠틀라운지,@gentle_lounge,https://www.instagram.com/gentle_lounge/,브랜드공식
18,바이로엘,@byroel_official,https://www.instagram.com/byroel_official/,브랜드공식
19,캘리테일러,@callitailor,https://www.instagram.com/callitailor/,브랜드공식
20,몬테수트,@monte_suit,https://www.instagram.com/monte_suit/,브랜드공식
21,보나비타,@bonavita_tailor,https://www.instagram.com/bonavita_tailor/,브랜드공식
22,디앤드테일러,@dndtailor_official,https://www.instagram.com/dndtailor_official/,브랜드공식
23,지안스타일,@gianstyle_official,https://www.instagram.com/gianstyle_official/,브랜드공식
24,레드카펫수트,@redcarpet_suit,https://www.instagram.com/redcarpet_suit/,브랜드공식
25,킹즈맨테일러,@kingsman_tailor_kr,https://www.instagram.com/kingsman_tailor_kr/,브랜드공식
26,수트컴퍼니,@suitcompany_kr,https://www.instagram.com/suitcompany_kr/,브랜드공식
27,라비타 (울산),@lavita_ulsan,https://www.instagram.com/lavita_ulsan/,지점
28,밀라노핏,@hyoo6293,https://www.instagram.com/hyoo6293/,개인
29,수트스튜디오,@suit_studio_kr,https://www.instagram.com/suit_studio_kr/,브랜드공식
30,클래식테일러,@classic_tailor_seoul,https://www.instagram.com/classic_tailor_seoul/,브랜드공식
31,빈센트수트,@vincent_suit,https://www.instagram.com/vincent_suit/,브랜드공식
32,로열테일러,@royal_tailor_kr,https://www.instagram.com/royal_tailor_kr/,브랜드공식
33,프레스티지수트,@prestige_suit,https://www.instagram.com/prestige_suit/,브랜드공식
34,마에스트로,@maestro_tailor,https://www.instagram.com/maestro_tailor/,브랜드공식
35,이스트테일러,@east_tailor,https://www.instagram.com/east_tailor/,브랜드공식
36,더핏수트,@thefit_suit,https://www.instagram.com/thefit_suit/,브랜드공식
37,블랙라벨수트,@blacklabel_suit,https://www.instagram.com/blacklabel_suit/,브랜드공식
38,루이테일러,@louis_tailor_kr,https://www.instagram.com/louis_tailor_kr/,브랜드공식
39,그레이수트,@gray_suit_official,https://www.instagram.com/gray_suit_official/,브랜드공식
40,시그니처테일러,@signature_tailor,https://www.instagram.com/signature_tailor/,브랜드공식
41,더제너럴테일러,@thegeneral_tailor,https://www.instagram.com/thegeneral_tailor/,브랜드공식
42,노블테일러,@noble_tailor_kr,https://www.instagram.com/noble_tailor_kr/,브랜드공식
43,셀렉트수트,@select_suit,https://www.instagram.com/select_suit/,브랜드공식
44,에이클래스수트,@aclass_suit,https://www.instagram.com/aclass_suit/,브랜드공식
45,트렌디수트,@trendy_suit_kr,https://www.instagram.com/trendy_suit_kr/,브랜드공식
46,모던테일러,@modern_tailor_kr,https://www.instagram.com/modern_tailor_kr/,브랜드공식
47,프라임수트,@prime_suit_official,https://www.instagram.com/prime_suit_official/,브랜드공식
48,더클래스수트,@theclass_suit,https://www.instagram.com/theclass_suit/,브랜드공식
49,아이웨딩예복,@iwedding_suit,https://www.instagram.com/iwedding_suit/,플랫폼
50,웨딩킹,@weddingking_official,https://www.instagram.com/weddingking_official/,플랫폼
